run,method,ppc,flip_coef,r,v_theta_sim
rankine_pic_ppc2_t4,pic,2,,0.008866666666666667,0.03088153755678987
rankine_pic_ppc2_t4,pic,2,,0.0266,0.06732578057023549
rankine_pic_ppc2_t4,pic,2,,0.044333333333333336,0.1027722041914138
rankine_pic_ppc2_t4,pic,2,,0.062066666666666666,0.14068821750692806
rankine_pic_ppc2_t4,pic,2,,0.07980000000000001,0.17373704111473048
rankine_pic_ppc2_t4,pic,2,,0.09753333333333333,0.20834471351344688
rankine_pic_ppc2_t4,pic,2,,0.11526666666666666,0.2488164900561642
rankine_pic_ppc2_t4,pic,2,,0.133,0.28579354668975887
rankine_pic_ppc2_t4,pic,2,,0.15073333333333333,0.32885461050301745
rankine_pic_ppc2_t4,pic,2,,0.16846666666666665,0.3724925227665543
rankine_pic_ppc2_t4,pic,2,,0.1862,0.40663556779799404
rankine_pic_ppc2_t4,pic,2,,0.20393333333333333,0.4421388556945926
rankine_pic_ppc2_t4,pic,2,,0.22166666666666668,0.4810258636292847
rankine_pic_ppc2_t4,pic,2,,0.2394,0.5160131645875748
rankine_pic_ppc2_t4,pic,2,,0.2571333333333333,0.5520636958728338
rankine_pic_ppc2_t4,pic,2,,0.2748666666666667,0.5883741360931725
rankine_pic_ppc2_t4,pic,2,,0.29259999999999997,0.6259684556361352
rankine_pic_ppc2_t4,pic,2,,0.31033333333333335,0.6656376482675164
rankine_pic_ppc2_t4,pic,2,,0.3280666666666667,0.7028823932616313
rankine_pic_ppc2_t4,pic,2,,0.3458,0.7357248311550151
rankine_pic_ppc2_t4,pic,2,,0.3635333333333334,0.7716852938007626
rankine_pic_ppc2_t4,pic,2,,0.38126666666666664,0.806656108160831
rankine_pic_ppc2_t4,pic,2,,0.399,0.8384549313534756
rankine_pic_ppc2_t4,pic,2,,0.4167333333333333,0.8747585022841369
rankine_pic_ppc2_t4,pic,2,,0.43446666666666667,0.9106933099962745
rankine_pic_ppc2_t4,pic,2,,0.45220000000000005,0.9441430587912524
rankine_pic_ppc2_t4,pic,2,,0.4699333333333333,0.980266513971485
rankine_pic_ppc2_t4,pic,2,,0.4876666666666667,1.0123919019165566
rankine_pic_ppc2_t4,pic,2,,0.5054,1.0444973626807357
rankine_pic_ppc2_t4,pic,2,,0.5231333333333333,1.0762060281099561
rankine_pic_ppc2_t4,pic,2,,0.5408666666666666,1.1055837129550836
rankine_pic_ppc2_t4,pic,2,,0.5586,1.1384521237649572
rankine_pic_ppc2_t4,pic,2,,0.5763333333333334,1.170839323639683
rankine_pic_ppc2_t4,pic,2,,0.5940666666666667,1.202049099091305
rankine_pic_ppc2_t4,pic,2,,0.6118,1.2324329706370405
rankine_pic_ppc2_t4,pic,2,,0.6295333333333333,1.2610023763506752
rankine_pic_ppc2_t4,pic,2,,0.6472666666666667,1.2892573233858458
rankine_pic_ppc2_t4,pic,2,,0.665,1.3184481163721096
rankine_pic_ppc2_t4,pic,2,,0.6827333333333334,1.3471546038286775
rankine_pic_ppc2_t4,pic,2,,0.7004666666666667,1.372478802156864
rankine_pic_ppc2_t4,pic,2,,0.7182,1.3987084612456786
rankine_pic_ppc2_t4,pic,2,,0.7359333333333333,1.4241339124255674
rankine_pic_ppc2_t4,pic,2,,0.7536666666666667,1.4500222057368406
rankine_pic_ppc2_t4,pic,2,,0.7714000000000001,1.4755825998168273
rankine_pic_ppc2_t4,pic,2,,0.7891333333333334,1.4999557996929866
rankine_pic_ppc2_t4,pic,2,,0.8068666666666666,1.523588034853846
rankine_pic_ppc2_t4,pic,2,,0.8246,1.545739203158044
rankine_pic_ppc2_t4,pic,2,,0.8423333333333334,1.5669069916132405
rankine_pic_ppc2_t4,pic,2,,0.8600666666666666,1.5879502234319802
rankine_pic_ppc2_t4,pic,2,,0.8778,1.6094348153079268
rankine_pic_ppc2_t4,pic,2,,0.8955333333333333,1.6290311339425185
rankine_pic_ppc2_t4,pic,2,,0.9132666666666667,1.6482255772932624
rankine_pic_ppc2_t4,pic,2,,0.931,1.6675605957382282
rankine_pic_ppc2_t4,pic,2,,0.9487333333333333,1.6853411363938344
rankine_pic_ppc2_t4,pic,2,,0.9664666666666667,1.7023920599056577
rankine_pic_ppc2_t4,pic,2,,0.9842,1.719052869334919
rankine_pic_ppc2_t4,pic,2,,1.0019333333333333,1.7340603017457676
rankine_pic_ppc2_t4,pic,2,,1.0196666666666667,1.7481536572024705
rankine_pic_ppc2_t4,pic,2,,1.0373999999999999,1.7620414058879463
rankine_pic_ppc2_t4,pic,2,,1.0551333333333335,1.7756921491173003
rankine_pic_ppc2_t4,pic,2,,1.0728666666666666,1.7882989786215053
rankine_pic_ppc2_t4,pic,2,,1.0906,1.7999537515200401
rankine_pic_ppc2_t4,pic,2,,1.1083333333333334,1.8105070666571583
rankine_pic_ppc2_t4,pic,2,,1.1260666666666665,1.8207117286842844
rankine_pic_ppc2_t4,pic,2,,1.1438000000000001,1.8301471317707878
rankine_pic_ppc2_t4,pic,2,,1.1615333333333333,1.8384533069910312
rankine_pic_ppc2_t4,pic,2,,1.1792666666666667,1.8457552547589022
rankine_pic_ppc2_t4,pic,2,,1.197,1.852697102396734
rankine_pic_ppc2_t4,pic,2,,1.2147333333333332,1.8591985839127378
rankine_pic_ppc2_t4,pic,2,,1.2324666666666668,1.8643753026341374
rankine_pic_ppc2_t4,pic,2,,1.2502,1.8691975462679649
rankine_pic_ppc2_t4,pic,2,,1.2679333333333334,1.8730367837784618
rankine_pic_ppc2_t4,pic,2,,1.2856666666666667,1.8757585701959587
rankine_pic_ppc2_t4,pic,2,,1.3034,1.877936722773317
rankine_pic_ppc2_t4,pic,2,,1.3211333333333335,1.8794942732938265
rankine_pic_ppc2_t4,pic,2,,1.3388666666666666,1.8798191280468317
rankine_pic_ppc2_t4,pic,2,,1.3566,1.8797144325491961
rankine_pic_ppc2_t4,pic,2,,1.3743333333333334,1.878691590832842
rankine_pic_ppc2_t4,pic,2,,1.3920666666666666,1.8768986221291046
rankine_pic_ppc2_t4,pic,2,,1.4098000000000002,1.8744468404840604
rankine_pic_ppc2_t4,pic,2,,1.4275333333333333,1.870728298708382
rankine_pic_ppc2_t4,pic,2,,1.4452666666666667,1.8668778076404735
rankine_pic_ppc2_t4,pic,2,,1.463,1.8620851766121576
rankine_pic_ppc2_t4,pic,2,,1.4807333333333332,1.8567221318432692
rankine_pic_ppc2_t4,pic,2,,1.4984666666666668,1.8500957144298822
rankine_pic_ppc2_t4,pic,2,,1.5162,1.8428142637249172
rankine_pic_ppc2_t4,pic,2,,1.5339333333333334,1.8352402576434028
rankine_pic_ppc2_t4,pic,2,,1.5516666666666667,1.8265410622007534
rankine_pic_ppc2_t4,pic,2,,1.5694,1.8169822437147185
rankine_pic_ppc2_t4,pic,2,,1.5871333333333335,1.8065945405605253
rankine_pic_ppc2_t4,pic,2,,1.6048666666666667,1.7954240589192898
rankine_pic_ppc2_t4,pic,2,,1.6226,1.7842921254615494
rankine_pic_ppc2_t4,pic,2,,1.6403333333333334,1.7719256639377465
rankine_pic_ppc2_t4,pic,2,,1.6580666666666666,1.7587925651108005
rankine_pic_ppc2_t4,pic,2,,1.6758000000000002,1.7444667918765893
rankine_pic_ppc2_t4,pic,2,,1.6935333333333333,1.729126057444471
rankine_pic_ppc2_t4,pic,2,,1.7112666666666665,1.713621734123683
rankine_pic_ppc2_t4,pic,2,,1.729,1.6979327123760144
rankine_pic_ppc2_t4,pic,2,,1.7467333333333332,1.6810446448858118
rankine_pic_ppc2_t4,pic,2,,1.7644666666666668,1.6632246243081612
rankine_pic_ppc2_t4,pic,2,,1.7822,1.6452499607572788
rankine_pic_ppc2_t4,pic,2,,1.7999333333333332,1.6270146190409884
rankine_pic_ppc2_t4,pic,2,,1.8176666666666668,1.6072713725585117
rankine_pic_ppc2_t4,pic,2,,1.8354,1.5862614994723019
rankine_pic_ppc2_t4,pic,2,,1.8531333333333335,1.5648638689813499
rankine_pic_ppc2_t4,pic,2,,1.8708666666666667,1.5428837963548596
rankine_pic_ppc2_t4,pic,2,,1.8885999999999998,1.5203706724571346
rankine_pic_ppc2_t4,pic,2,,1.9063333333333334,1.496708344756412
rankine_pic_ppc2_t4,pic,2,,1.9240666666666666,1.4730411384868711
rankine_pic_ppc2_t4,pic,2,,1.9418000000000002,1.4491542921244995
rankine_pic_ppc2_t4,pic,2,,1.9595333333333333,1.4244134319990553
rankine_pic_ppc2_t4,pic,2,,1.9772666666666665,1.3974708349982878
rankine_pic_ppc2_t4,pic,2,,1.995,1.3707221963588825
rankine_pic_ppc2_t4,pic,2,,2.0127333333333333,1.343191107683346
rankine_pic_ppc2_t4,pic,2,,2.0304666666666664,1.3156612987871141
rankine_pic_ppc2_t4,pic,2,,2.0482,1.2858843889373022
rankine_pic_ppc2_t4,pic,2,,2.0659333333333336,1.2576004704120554
rankine_pic_ppc2_t4,pic,2,,2.083666666666667,1.2290004202461378
rankine_pic_ppc2_t4,pic,2,,2.1014,1.1993920558172901
rankine_pic_ppc2_t4,pic,2,,2.119133333333333,1.1674741309776837
rankine_pic_ppc2_t4,pic,2,,2.1368666666666667,1.136049601778322
rankine_pic_ppc2_t4,pic,2,,2.1546000000000003,1.1039356576624662
rankine_pic_ppc2_t4,pic,2,,2.1723333333333334,1.0721732818009788
rankine_pic_ppc2_t4,pic,2,,2.1900666666666666,1.0384703458332902
rankine_pic_ppc2_t4,pic,2,,2.2077999999999998,1.0036843899008094
rankine_pic_ppc2_t4,pic,2,,2.2255333333333334,0.9694540431826453
rankine_pic_ppc2_t4,pic,2,,2.243266666666667,0.935668227407311
rankine_pic_ppc2_t4,pic,2,,2.261,0.9018963763977845
rankine_pic_ppc2_t4,pic,2,,2.2787333333333333,0.8666948292187451
rankine_pic_ppc2_t4,pic,2,,2.2964666666666664,0.8306260266709409
rankine_pic_ppc2_t4,pic,2,,2.3142,0.7933271339923216
rankine_pic_ppc2_t4,pic,2,,2.3319333333333336,0.7553054556307759
rankine_pic_ppc2_t4,pic,2,,2.349666666666667,0.7196593622511152
rankine_pic_ppc2_t4,pic,2,,2.3674,0.6825879130118657
rankine_pic_ppc2_t4,pic,2,,2.385133333333333,0.6447734013680836
rankine_pic_ppc2_t4,pic,2,,2.4028666666666667,0.6070031012409258
rankine_pic_ppc2_t4,pic,2,,2.4206000000000003,0.5704937443464966
rankine_pic_ppc2_t4,pic,2,,2.4383333333333335,0.5330753491976371
rankine_pic_ppc2_t4,pic,2,,2.4560666666666666,0.49441582655848476
rankine_pic_ppc2_t4,pic,2,,2.4737999999999998,0.45440035248194727
rankine_pic_ppc2_t4,pic,2,,2.4915333333333334,0.4161207840806272
rankine_pic_ppc2_t4,pic,2,,2.509266666666667,0.3777920691150458
rankine_pic_ppc2_t4,pic,2,,2.527,0.33778273625176986
rankine_pic_ppc2_t4,pic,2,,2.5447333333333333,0.2996288732446419
rankine_pic_ppc2_t4,pic,2,,2.5624666666666664,0.2600905996081558
rankine_pic_ppc2_t4,pic,2,,2.5802,0.2184940787104098
rankine_pic_ppc2_t4,pic,2,,2.5979333333333336,0.1828223698974302
rankine_pic_ppc2_t4,pic,2,,2.615666666666667,0.1452434318959376
rankine_pic_ppc2_t4,pic,2,,2.6334,0.10830949650831419
rankine_pic_ppc2_t4,pic,2,,2.651133333333333,0.05250110351377569
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.008866666666666667,0.034491602158388215
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.0266,0.07902003736928424
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.044333333333333336,0.11801497790566673
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.062066666666666666,0.15928319629122134
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.07980000000000001,0.19765250462133072
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.09753333333333333,0.23554128771782917
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.11526666666666666,0.27938833844493915
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.133,0.3234037733641997
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.15073333333333333,0.36883699496976907
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.16846666666666665,0.4164253266905787
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.1862,0.4588908462862096
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.20393333333333333,0.49889223368014807
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.22166666666666668,0.5415898596459475
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.2394,0.5841885252653967
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.2571333333333333,0.6254668672379604
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.2748666666666667,0.6687311965018111
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.29259999999999997,0.7122313379496173
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.31033333333333335,0.7578946391815036
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.3280666666666667,0.80215222965077
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.3458,0.8431557787908524
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.3635333333333334,0.8844312057165976
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.38126666666666664,0.9296802255866455
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.399,0.9702886540939237
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.4167333333333333,1.014911203978635
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.43446666666666667,1.0586919331980016
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.45220000000000005,1.1020690287360368
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.4699333333333333,1.1467370554225504
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.4876666666666667,1.189111901995683
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.5054,1.2306983337619797
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.5231333333333333,1.274508656881885
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.5408666666666666,1.3124310539334099
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.5586,1.3560185154587518
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.5763333333333334,1.4028089225148397
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.5940666666666667,1.4462336512837721
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.6118,1.4903346510480757
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.6295333333333333,1.534598789294335
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.6472666666666667,1.5769792603388753
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.665,1.620523911279717
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.6827333333333334,1.6647451819319985
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.7004666666666667,1.7050063681138266
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.7182,1.7470023298532837
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.7359333333333333,1.7903802871898318
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.7536666666666667,1.8340333136752978
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.7714000000000001,1.8801257883050784
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.7891333333333334,1.9250575345280847
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.8068666666666666,1.9664429391076572
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.8246,2.0092687314064093
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.8423333333333334,2.0512091057255795
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.8600666666666666,2.0922532546169204
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.8778,2.136011804182743
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.8955333333333333,2.1783881479173166
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.9132666666666667,2.220201072670697
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.931,2.2637628795109457
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.9487333333333333,2.3056124875843986
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.9664666666666667,2.345970965040913
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0.9842,2.384830214642003
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.0019333333333333,2.4215761489169965
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.0196666666666667,2.4566470347551785
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.0373999999999999,2.491630391705266
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.0551333333333335,2.5246429228051155
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.0728666666666666,2.555455353886503
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.0906,2.5833790993671246
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.1083333333333334,2.606455295625729
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.1260666666666665,2.627024768426505
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.1438000000000001,2.645375962390966
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.1615333333333333,2.658879170390911
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.1792666666666667,2.668514462866956
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.197,2.6745539598850776
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.2147333333333332,2.6767091650019976
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.2324666666666668,2.6751230734116196
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.2502,2.6698905167271723
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.2679333333333334,2.6605931433372247
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.2856666666666667,2.6485456458956222
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.3034,2.6338671847777535
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.3211333333333335,2.61737694632141
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.3388666666666666,2.5979482332424637
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.3566,2.576836855453426
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.3743333333333334,2.5541431899102207
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.3920666666666666,2.528632911537359
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.4098000000000002,2.502826804760675
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.4275333333333333,2.476845590109692
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.4452666666666667,2.452108023151655
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.463,2.426965949222974
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.4807333333333332,2.401181913234586
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.4984666666666668,2.3753683980798193
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.5162,2.3494604718319403
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.5339333333333334,2.323872948123469
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.5516666666666667,2.299058390472684
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.5694,2.2740944398523397
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.5871333333333335,2.2496836774732705
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.6048666666666667,2.22566781421451
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.6226,2.2025076939099075
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.6403333333333334,2.1799162813130613
