method,ppc,flip_coef_pic,run,v0,v_theory,sample,step,time,v_mean,v_median,v_p05,v_p95,n_particles
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.009999999776482582,0,0,0.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.059999999776482585,1,5,0.05,0.05999999887436586,0.06000000238418579,0.0599999874830246,0.06000000983476639,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.10999999977648259,2,10,0.1,0.10999999158806335,0.10999999195337296,0.10999997705221176,0.11000000685453415,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.15999999977648258,3,15,0.15,0.16000000990013055,0.1600000113248825,0.15999998152256012,0.1600000411272049,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.2099999997764826,4,20,0.2,0.21000003914234122,0.21000003814697266,0.20999999344348907,0.21000008285045624,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.2599999997764826,5,25,0.25,0.2600000466346143,0.2600000500679016,0.25999999046325684,0.260000079870224,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.30999999977648257,6,30,0.3,0.31000000376978154,0.3100000023841858,0.309999942779541,0.31000006198883057,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.3599999997764826,7,35,0.35000000000000003,0.35999995952380265,0.35999995470046997,0.3599998950958252,0.36000004410743713,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.4099999997764826,8,40,0.4,0.4099999178995097,0.40999990701675415,0.4099998474121094,0.4099999964237213,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.4599999997764826,9,45,0.45,0.45999987156935274,0.45999985933303833,0.45999976992607117,0.4599999785423279,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.5099999997764826,10,50,0.5,0.5099998367253128,0.5099998116493225,0.5099997520446777,0.5099999308586121,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.5599999997764826,11,55,0.55,0.5599997867171422,0.5599997639656067,0.5599996447563171,0.5599998831748962,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.6099999997764826,12,60,0.6,0.6099997477759393,0.6099997758865356,0.6099995970726013,0.6099998950958252,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.6599999997764826,13,65,0.65,0.6599996995600551,0.6599997282028198,0.6599995493888855,0.6599998474121094,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.7099999997764826,14,70,0.7000000000000001,0.7099996492190568,0.7099996209144592,0.7099995017051697,0.7099997997283936,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.7599999997764826,15,75,0.75,0.7599996090177359,0.7599996328353882,0.7599994540214539,0.7599997520446777,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.8099999997764826,16,80,0.8,0.8099995636086397,0.8099995851516724,0.809999406337738,0.8099997639656067,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.8599999997764826,17,85,0.85,0.8599995215812158,0.8599995374679565,0.8599992990493774,0.8599997162818909,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.9099999997764826,18,90,0.9,0.9099994742926217,0.9099994897842407,0.9099992513656616,0.909999668598175,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,0.9599999997764826,19,95,0.9500000000000001,0.9599994240726517,0.9599994421005249,0.9599992036819458,0.9599996209144592,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.0099999997764826,20,100,1.0,1.009999408979358,1.009999394416809,1.00999915599823,1.0099996328353882,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.0599999997764826,21,105,1.05,1.0599993820199543,1.0599993467330933,1.0599991083145142,1.0599995851516724,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.1099999997764827,22,110,1.1,1.109999332524374,1.1099992990493774,1.1099990606307983,1.109999656677246,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.1599999997764827,23,115,1.1500000000000001,1.15999929865212,1.1599992513656616,1.1599990129470825,1.1599996089935303,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.2099999997764825,24,120,1.2,1.2099992577531067,1.2099992036819458,1.2099989652633667,1.2099995613098145,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.2599999997764826,25,125,1.25,1.2599992016508066,1.25999915599823,1.2599989175796509,1.2599995136260986,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.3099999997764826,26,130,1.3,1.3099991629338619,1.3099991083145142,1.309998869895935,1.3099994659423828,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.3599999997764827,27,135,1.35,1.3599991058135006,1.3599990606307983,1.3599988222122192,1.359999418258667,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.4099999997764827,28,140,1.4000000000000001,1.4099990695171214,1.4099990129470825,1.4099987745285034,1.4099994897842407,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.4599999997764825,29,145,1.45,1.4599990404290437,1.4599990844726562,1.4599987268447876,1.459999442100525,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.5099999997764826,30,150,1.5,1.509998987882839,1.5099990367889404,1.5099985599517822,1.509999394416809,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.5599999997764826,31,155,1.55,1.5599989353188362,1.5599989891052246,1.5599985122680664,1.5599993467330933,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.6099999997764827,32,160,1.6,1.6099989013291134,1.6099989414215088,1.6099984645843506,1.6099992990493774,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.6599999997764827,33,165,1.6500000000000001,1.6599988588816503,1.659998893737793,1.6599984169006348,1.6599992513656616,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.7099999997764825,34,170,1.7,1.7099988168221896,1.7099988460540771,1.709998369216919,1.7099993228912354,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.7599999997764826,35,175,1.75,1.7599987711354401,1.7599987983703613,1.7599983215332031,1.75999915599823,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.8099999997764826,36,180,1.8,1.8099987362059686,1.8099987506866455,1.8099981546401978,1.8099992275238037,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.8599999997764827,37,185,1.85,1.859998690284282,1.8599987030029297,1.8599981546401978,1.859999179840088,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.9099999997764827,38,190,1.9000000000000001,1.9099986550166432,1.9099986553192139,1.9099981784820557,1.909999132156372,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,1.9599999997764825,39,195,1.95,1.9599985883920026,1.959998607635498,1.9599980115890503,1.9599990844726562,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.0099999997764826,40,200,2.0,2.0099985752654184,2.0099985599517822,2.009998083114624,2.0099990367889404,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.0599999997764824,41,205,2.05,2.0599985300307453,2.0599985122680664,2.059998035430908,2.0599989891052246,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.1099999997764827,42,210,2.1,2.109998497390132,2.1099984645843506,2.1099979877471924,2.109999179840088,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.1599999997764825,43,215,2.15,2.1599984786962474,2.1599984169006348,2.1599979400634766,2.159999132156372,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.2099999997764828,44,220,2.2,2.209998427246416,2.209998369216919,2.2099976539611816,2.2099990844726562,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.2599999997764826,45,225,2.25,2.2599984105672966,2.259998321533203,2.259997844696045,2.2599990367889404,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.309999999776483,46,230,2.3000000000000003,2.3099983577220806,2.3099982738494873,2.30999755859375,2.3099989891052246,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.3599999997764827,47,235,2.35,2.3599983177414585,2.3599982261657715,2.3599977493286133,2.359998941421509,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.4099999997764825,48,240,2.4,2.4099982805160094,2.4099981784820557,2.4099977016448975,2.409998893737793,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.4599999997764828,49,245,2.45,2.459998212620572,2.45999813079834,2.4599974155426025,2.459998846054077,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.5099999997764826,50,250,2.5,2.509998181987604,2.509998083114624,2.509997606277466,2.5099987983703613,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.559999999776483,51,255,2.5500000000000003,2.559998103797644,2.559998035430908,2.559997320175171,2.5599987506866455,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.6099999997764827,52,260,2.6,2.609998076781286,2.6099979877471924,2.609997272491455,2.6099987030029297,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.6599999997764825,53,265,2.65,2.6599980627576683,2.6599981784820557,2.6599974632263184,2.659998655319214,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.7099999997764828,54,270,2.7,2.7099980294122434,2.70999813079834,2.7099974155426025,2.709998846054077,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.7599999997764826,55,275,2.75,2.75999800028145,2.759998083114624,2.7599973678588867,2.7599987983703613,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.809999999776483,56,280,2.8000000000000003,2.809997973343404,2.809998035430908,2.809997320175171,2.8099987506866455,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.8599999997764827,57,285,2.85,2.8599979304509837,2.8599979877471924,2.859997034072876,2.8599987030029297,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.9099999997764825,58,290,2.9,2.909997895688816,2.9099979400634766,2.90999698638916,2.909998655319214,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,2.9599999997764828,59,295,2.95,2.9599978845983546,2.9599978923797607,2.9599971771240234,2.959998607635498,33489
pic,3,,free-fall-no-water_pic_ppc3_t1,0.009999999776482582,3.0099999997764826,60,300,3.0,3.0099978568273493,3.009997844696045,3.0099971294403076,3.0099985599517822,33489
