test,method,ppc,flip_coef_pic,threads,repeat,run,status,returncode,wall_time_s,reported_time_s,final_kinetic_energy,final_normalized_ke,final_enstrophy,final_mean_abs_vorticity,final_max_abs_vorticity,max_div,config
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,ok,0,11.999987022951245,11.9797,,,,,,0.427393,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r0.json
falling-block-water,pic,1,,32,1,falling-block-water_pic_ppc1_t32_r1,ok,0,11.954541863990016,11.9355,,,,,,0.302305,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r1.json
falling-block-water,pic,1,,32,2,falling-block-water_pic_ppc1_t32_r2,ok,0,12.041243115905672,12.0217,,,,,,0.26855,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r2.json
falling-block-water,pic,1,,32,3,falling-block-water_pic_ppc1_t32_r3,ok,0,11.923773727961816,11.9042,,,,,,0.469953,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r3.json
falling-block-water,pic,1,,32,4,falling-block-water_pic_ppc1_t32_r4,ok,0,11.55452433496248,11.5339,,,,,,0.336607,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r4.json
falling-block-water,pic,1,,32,5,falling-block-water_pic_ppc1_t32_r5,ok,0,11.927897758083418,11.9075,,,,,,0.308597,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r5.json
falling-block-water,pic,1,,32,6,falling-block-water_pic_ppc1_t32_r6,ok,0,11.593684379011393,11.5736,,,,,,0.329957,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r6.json
falling-block-water,pic,1,,32,7,falling-block-water_pic_ppc1_t32_r7,ok,0,11.554409543983638,11.5342,,,,,,0.29612,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r7.json
falling-block-water,pic,1,,32,8,falling-block-water_pic_ppc1_t32_r8,ok,0,12.483019385952502,12.4613,,,,,,0.172451,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r8.json
falling-block-water,pic,1,,32,9,falling-block-water_pic_ppc1_t32_r9,ok,0,11.730807845946401,11.7114,,,,,,0.342751,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r9.json
falling-block-water,pic,1,,32,10,falling-block-water_pic_ppc1_t32_r10,ok,0,11.723731118952855,11.703,,,,,,0.528927,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r10.json
falling-block-water,pic,1,,32,11,falling-block-water_pic_ppc1_t32_r11,ok,0,11.980331425089389,11.9606,,,,,,0.510604,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r11.json
falling-block-water,pic,1,,32,12,falling-block-water_pic_ppc1_t32_r12,ok,0,11.60278418904636,11.5836,,,,,,0.333217,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r12.json
falling-block-water,pic,1,,32,13,falling-block-water_pic_ppc1_t32_r13,ok,0,11.4965937549714,11.4765,,,,,,0.211025,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r13.json
falling-block-water,pic,1,,32,14,falling-block-water_pic_ppc1_t32_r14,ok,0,11.563526903046295,11.5443,,,,,,0.264482,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r14.json
falling-block-water,pic,1,,32,15,falling-block-water_pic_ppc1_t32_r15,ok,0,12.683295810013078,12.6636,,,,,,0.3099,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r15.json
falling-block-water,pic,1,,32,16,falling-block-water_pic_ppc1_t32_r16,ok,0,11.575628367019817,11.5556,,,,,,0.514406,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r16.json
falling-block-water,pic,1,,32,17,falling-block-water_pic_ppc1_t32_r17,ok,0,11.599749555112794,11.5782,,,,,,0.242685,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r17.json
falling-block-water,pic,1,,32,18,falling-block-water_pic_ppc1_t32_r18,ok,0,11.604842722998,11.5847,,,,,,0.214845,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r18.json
falling-block-water,pic,1,,32,19,falling-block-water_pic_ppc1_t32_r19,ok,0,11.610040150000714,11.5891,,,,,,0.316987,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r19.json
falling-block-water,pic,1,,32,20,falling-block-water_pic_ppc1_t32_r20,ok,0,12.026778750005178,12.0068,,,,,,0.546553,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r20.json
falling-block-water,pic,1,,32,21,falling-block-water_pic_ppc1_t32_r21,ok,0,11.517350157024339,11.4972,,,,,,0.396464,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r21.json
falling-block-water,pic,1,,32,22,falling-block-water_pic_ppc1_t32_r22,ok,0,11.59893874800764,11.5792,,,,,,0.273333,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r22.json
falling-block-water,pic,1,,32,23,falling-block-water_pic_ppc1_t32_r23,ok,0,11.612688592053019,11.5931,,,,,,0.327888,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r23.json
falling-block-water,pic,1,,32,24,falling-block-water_pic_ppc1_t32_r24,ok,0,12.871559927007183,12.8516,,,,,,0.816171,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc1_t32_r24.json
falling-block-water,pic,2,,32,0,falling-block-water_pic_ppc2_t32_r0,ok,0,18.87683769199066,18.8536,,,,,,0.0486657,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r0.json
falling-block-water,pic,2,,32,1,falling-block-water_pic_ppc2_t32_r1,ok,0,18.28922129003331,18.2665,,,,,,0.0469313,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r1.json
falling-block-water,pic,2,,32,2,falling-block-water_pic_ppc2_t32_r2,ok,0,18.832573933992535,18.8111,,,,,,0.0880362,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r2.json
falling-block-water,pic,2,,32,3,falling-block-water_pic_ppc2_t32_r3,ok,0,19.10633673996199,19.085,,,,,,0.0975884,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r3.json
falling-block-water,pic,2,,32,4,falling-block-water_pic_ppc2_t32_r4,ok,0,18.653311648988165,18.6308,,,,,,0.0384834,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r4.json
falling-block-water,pic,2,,32,5,falling-block-water_pic_ppc2_t32_r5,ok,0,18.433833891991526,18.4112,,,,,,0.0928528,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r5.json
falling-block-water,pic,2,,32,6,falling-block-water_pic_ppc2_t32_r6,ok,0,18.906543829012662,18.8847,,,,,,0.0749367,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r6.json
falling-block-water,pic,2,,32,7,falling-block-water_pic_ppc2_t32_r7,ok,0,18.24949260300491,18.2271,,,,,,0.0530062,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r7.json
falling-block-water,pic,2,,32,8,falling-block-water_pic_ppc2_t32_r8,ok,0,18.494795721024275,18.4735,,,,,,0.0411136,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r8.json
falling-block-water,pic,2,,32,9,falling-block-water_pic_ppc2_t32_r9,ok,0,18.33956682193093,18.3178,,,,,,0.080237,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r9.json
falling-block-water,pic,2,,32,10,falling-block-water_pic_ppc2_t32_r10,ok,0,18.992601186968386,18.9705,,,,,,0.129805,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r10.json
falling-block-water,pic,2,,32,11,falling-block-water_pic_ppc2_t32_r11,ok,0,18.39991292101331,18.3779,,,,,,0.0667557,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_ppc_impact/configs/falling-block-water/falling-block-water_pic_ppc2_t32_r11.json
